Number Word Version,Problem,Answer
number_word_std.test,What is the sum of 1 and 1?,2
number_word_std.test,When the smaller of two consecutive integers is added to three times the larger the result is 199. Find the smaller integer.,49
number_word_std.test,The product of two positive consecutive odd integers is 399. The sum of these two integers is?,40
number_word_std.test,The sum of three consecutive positive integers is 246.  Find the largest integer.,83
number_word_std.test,The sum of 3 consecutive integers is 54. What is the greatest of the three integers?,19
number_word_std.test,one number is 5 times another number. the sum of the two numbers is 270. what is the number,225
number_word_std.test,The sum of two numbers is 52.  The larger number is three times the smaller number.  Find the larger number,39
number_word_std.test,the larger of two numbers is 5 times the smaller number the sum of the numbers is 54 find the larger number,45
number_word_std.test,One integer is four times another. The sum of the integers is 65. What is the value of the lesser integer?,13
number_word_std.test,"The larger of 2 integers is one more than three times the smaller. If the sum of the two integers is 37, find the larger integer.",28
number_word_std.test,The sum of two numbers is 70. The larger number is 4 more than twice the smaller number. What is the smaller number?,22
number_word_std.test,There are 3 consecutive odd integers whose sum is 303. What is the value of the 3rd odd integer?,103
number_word_std.test,The sum of three consecutive odd integers is 69. what is the largest of the integers?,25
number_word_std.test,The sum of three consecutive odd integers is 27. What is the middle integer?,9
number_word_std.test,the sum of three consecutive odd integers is 417. what is the largest of the three consecutive integers?,141
number_word_std.test,The sum of two consecutive integers 111. Three times the larger integer less two times the smaller integer is 58. Find the value of the smaller integer,55
number_word_std.test,Find the largest of three consecutive odd integers such that the sum of the first two integers is five more than the third integer,11
number_word_std.test,"The sum of two numbers A and B is 3. The sum of their cubes is 36, What is the sum of their squares decreased by the product of the two numbers?",12
number_word_std.test,"The sum of 5 consecutive integers is 1,000.  What is the value of the greatest of these integers?",202
number_word_std.test,What is the greatest of 5 consecutive integers if the sum of these integers equals 185?,39
number_word_std.test,"the sum of four consecutive integers is 250, what is the greatest of these integers",64
number_word_std.test,what is the least of three consecutive integers whose sum is 18,5
number_word_std.test,Find the 2-digit number whose tens digit is 3 less than the units digit and the original number is 6 more than 4 times the sum of the digits.,58
number_word_std.test,Find the largest of four consecutive odd integers such that the sum of the first and the fourth is 27 less than three times the first integer.,39
number_word_std.test,find the sum of the first 100 odd numbers?,10000
number_word_std.test,The sum of five consecutive integers is 40. What is the smallest of the integers?,6
number_word_std.test,The tens digits of a two-digit number is 2 less than the units digit. The sum of the digits is 12. Identify what the number is.,57
number_word_std.test,"if three times the smaller of two consecutive integers is added to four times the larger, the result is 130. find the smaller integer.",18
number_word_std.test,If three times the smaller of two consecutive integers is added to four times the larger the result is 137. Find the smaller integer,19
number_word_std.test,"three times the smaller of two consecutive integers is added to four times the larger, the result is 67. find the smaller integer.",9
number_word_std.test,"If three times the smaller of two consecutive integers is added to four times the larger, the result is  137. Find the smaller integer",19
number_word_std.test,The sum of two numbers is 110. The larger number is 2 less than 7 times the smaller. Find the larger number,96
number_word_std.test,The sum of 4 consecutive integers is 26. What is the product of the 4 numbers?,1680
number_word_std.test,The difference of the squares of two consecutive positive even integers is 20. What is the average of the two numbers?,5
number_word_std.test,M is a perfect square of an integer. The next larger perfect square is M + 461. What is M?,52900
number_word_std.test,The sum of two consecutive odd integers is 236. What is the smaller integer?,117
number_word_std.test,"if the sum of 7 consecutive integers is 434,then the greatest of the 7 integers is?",65
number_word_std.test,The sum of two numbers is 3 and twice the larger number is 36 more than three times the smaller number.What is the larger number?,9
number_word_std.test,The sum of two numbers is 58 and their difference is 4. Which is the greater of the two numbers?,31
number_word_std.test,"if three times the smaller of two consecutive even integers is added to two times the larger, the result is 64. what is the smaller of the two integers?",12
number_word_std.test,Find the larger of two consecutive integers if the larger is 149 less than twice the smaller.,151
number_word_std.test,the sum of the squares of 3 consecutive positive numbers is 365. find the smallest of the 3,10
number_word_std.test,"If the product of 2 consecutive positive odd integers is 15 more than 3 times their sum, then the larger integer is?",9
number_word_std.test,Two consecutive odd integers have a sum of 48. What is the largest of the two integers?,25
number_word_std.test,The sum of the larger of two consecutive numbers and five times the smaller one is 187. What is the smallest of the integers?,31
number_word_std.test,The sum of three consecutive odd numbers is 135. Find the largest odd number?,47
number_word_std.test,find the largest of three consecutive odd integers whose sum is -3,1
number_word_std.test,"the larger of two integers is 3 more than the smaller. If twice the square of the smaller integer is increased by 3 times the larger integer, the result is 23. Find the larger integer.",5
number_word_std.test,The sum of four consecutive odd integers is 296. What is the product of the smallest and largest of the four odd integers?,5467
number_word_std.test,Find the larger of two consecutive integers whose sum is 4 less than three times the smaller integer.,6
number_word_std.test,"sum of four consecutive integers is 686, then what is the sum of four previous consecutive integers ?",670
number_word_std.test,What two-digit number is equal to twice the product of its digits?,36
number_word_std.test,"In an even 2-digit number, the second digit is 3 times the first. what is the number?",26
number_word_std.test,The difference between six times a number and 9 is equal to five times the sum of the number and 2. find the number,19
number_word_std.test,the sum of two times a number and eight is equal to three times the difference between the number and four. What's the number?,20
number_word_std.test,The tens digit of a certain two-digit number is 3 more than the units digit. The sum of the squares of the two digits is 117. Find the number.,96
number_word_std.test,The sum of two consecutive odd numbers is 32.  What is the product of the two numbers?,255
number_word_std.test,"the sum of 3 digits is 5. The first and last digits are the same. If the middle digit is exchanged with the first digit , the new number is 90 less than the original number. Find the original number.",212
number_word_std.test,"The sum of the digits of a two-digit number is 7. If the digits are reversed, the new number is increased by 3 equals 4 times the original number. what is the number?",16
number_word_std.test,The sum of three consecutive numbers is 600. What is the least of these three numbers?,199
number_word_std.test,"The sum of two digits is 8. If the digits of the number are reversed, the number formed is 36 more than the number. What is the number?",26
number_word_std.test,The sum of the digits of a two-digit number is 12. The number formed by interchanging the digits is 54 more than the original number. What is the original number?,39
number_word_std.test,"the ratio of the number of coins mark has to the number of coins john has is 2:5. if john has 20 coins, how many coins does mark have?",8
number_word_std.test,find the largest two-digit number which is equal to four times the sum of its digits,48
number_word_std.test,"the sum of the digits of a two digit number is 12. if the digits are reversed, the number is 15 more than twice the original number. What is the original number?",39
number_word_std.test,20% of the number is 3. Find the number?,15
number_word_std.test,The ten's digit of a certain two digit number is twice the units digit. If the number is multiplied by the sum of its digits the result is 63. Find the number.,21
number_word_std.test,"A two digit counting number has a value of 8 times the sum of its digits. If 6 times the units digit is 5 more than the tens digit, what is the number?",72
number_word_std.test,The sum of the digits of a two-digit number is 7. The original two-digit number is 3 less than 4 times the number with its digits reversed. Find the original two-digit number.,61
number_word_std.test,what two-digit number is twice the product of its digits?,36
number_word_std.test,The product of the two-digit number and its tens digit is 54. Find the number if the sum of the digits when added to the number gives a result of 36?,27
number_word_std.test,"a three-digit number, which is divisible by 10, has a hundreds digit that is one less than its tens digit. the number also is 52 times the sum of its digits. find the number",780
number_word_std.test,"the sum of the digits of a two-digit number is 6. if the digits are reversed, the new number is three times the original tens digit. find the original number",51
number_word_std.test,"the sum of the digits of a two-digit number is 9. if 45 is subtracted from the number, the digits of the number are reversed. find the number.",72
number_word_std.test,"A two digit number is 7 times its unit digit. If 18 is added to the number, its digits are reversed. Find the number.",35
number_word_std.test,the sum of the digits of a 2-digit number is 7. The tens digit is one less than 3 times the units digit. Find the number.,52
number_word_std.test,"The tens digit of a 2-digit number is 9 less than twice the units digit. If the sum of the 2 digits is 18, what is the number ?",99
number_word_std.test,four times the smallest of three consecutive odd integers is five more than three times the largest. What is the sum of these consecutive odd integers?,57
number_word_std.test,the sum of a number and three times that number is 720. what is the number,180
number_word_std.test,"How many three digit numbers start with a prime digit, have an even digit in the middle, and an odd digit at the end?",100
number_word_std.test,"How many 3-digit positive integers are odd and do not contain the digit ""5""?",288
number_word_std.test,A certain two-digit number has a value that that is three times the sum of its digits. The units digit is one more than three times the tens digit. Find the number.,27
number_word_std.test,"A two digit number has its digits sum equal to 11.If you reverse the digits of this number, the new two digit number is 27 more than the original two digit number. Find the number.",47
